2025-03-29 13:54:51 | INFO | openai_api_server | args: Namespace(host='localhost', port=8000, controller_address='http://localhost:21001', allow_credentials=False, allowed_origins=['*'], allowed_methods=['*'], allowed_headers=['*'], api_keys=None, ssl=False)
2025-03-29 13:54:51 | ERROR | stderr | [32mINFO[0m:     Started server process [[36m9684[0m]
2025-03-29 13:54:51 | ERROR | stderr | [32mINFO[0m:     Waiting for application startup.
2025-03-29 13:54:51 | ERROR | stderr | [32mINFO[0m:     Application startup complete.
2025-03-29 13:54:51 | ERROR | stderr | [32mINFO[0m:     Uvicorn running on [1mhttp://localhost:8000[0m (Press CTRL+C to quit)
2025-03-29 13:56:56 | INFO | stdout | [32mINFO[0m:     127.0.0.1:48382 - "[1mPOST /v1/chat/completions HTTP/1.1[0m" [91m500 Internal Server Error[0m
2025-03-29 13:56:57 | ERROR | stderr | [31mERROR[0m:    Exception in ASGI application
2025-03-29 13:56:57 | ERROR | stderr | Traceback (most recent call last):
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/uvicorn/protocols/http/h11_impl.py", line 403, in run_asgi
2025-03-29 13:56:57 | ERROR | stderr |     result = await app(  # type: ignore[func-returns-value]
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/uvicorn/middleware/proxy_headers.py", line 60, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     return await self.app(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/fastapi/applications.py", line 1054, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     await super().__call__(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/applications.py", line 112, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     await self.middleware_stack(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/middleware/errors.py", line 187, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     raise exc
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/middleware/errors.py", line 165, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     await self.app(scope, receive, _send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/middleware/cors.py", line 85, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     await self.app(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/middleware/exceptions.py", line 62, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     await wrap_app_handling_exceptions(self.app, conn)(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/_exception_handler.py", line 53, in wrapped_app
2025-03-29 13:56:57 | ERROR | stderr |     raise exc
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/_exception_handler.py", line 42, in wrapped_app
2025-03-29 13:56:57 | ERROR | stderr |     await app(scope, receive, sender)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/routing.py", line 714, in __call__
2025-03-29 13:56:57 | ERROR | stderr |     await self.middleware_stack(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/routing.py", line 734, in app
2025-03-29 13:56:57 | ERROR | stderr |     await route.handle(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/routing.py", line 288, in handle
2025-03-29 13:56:57 | ERROR | stderr |     await self.app(scope, receive, send)
2025-03-29 13:56:57 | ERROR | stderr |   File "/home/aida/anaconda3/envs/autogen/lib/python3.9/site-packages/starlette/routing.py", line 76, in app
2025-03-29 13:56:57 | ERROR | stderr |     await wrap_app_handling_exceptions(app, request)(scope, receive, send)
