2025-09-13 23:33:24 | INFO | controller | args: Namespace(host='localhost', port=21001, dispatch_method='shortest_queue', ssl=False)
2025-09-13 23:33:24 | ERROR | stderr | INFO:     Started server process [6358]
2025-09-13 23:33:24 | ERROR | stderr | INFO:     Waiting for application startup.
2025-09-13 23:33:24 | ERROR | stderr | INFO:     Application startup complete.
2025-09-13 23:33:24 | ERROR | stderr | INFO:     Uvicorn running on http://localhost:21001 (Press CTRL+C to quit)
2025-09-13 23:33:44 | INFO | controller | Register a new worker: http://localhost:21002
2025-09-13 23:33:44 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['TinyLlama-1.1B-Chat-v1.0'], 'speed': 1, 'queue_length': 0}
2025-09-13 23:33:44 | INFO | stdout | INFO:     127.0.0.1:41632 - "POST /register_worker HTTP/1.1" 200 OK
2025-09-13 23:33:46 | INFO | controller | Register a new worker: http://localhost:21002
2025-09-13 23:33:46 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['TinyLlama-1.1B-Chat-v1.0'], 'speed': 1, 'queue_length': 0}
2025-09-13 23:33:46 | INFO | stdout | INFO:     127.0.0.1:41648 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2025-09-13 23:33:46 | INFO | stdout | INFO:     127.0.0.1:41654 - "POST /list_models HTTP/1.1" 200 OK
2025-09-13 23:34:06 | INFO | controller | Register a new worker: http://localhost:21002
2025-09-13 23:34:06 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['TinyLlama-1.1B-Chat-v1.0'], 'speed': 1, 'queue_length': 0}
2025-09-13 23:34:06 | INFO | stdout | INFO:     127.0.0.1:47546 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2025-09-13 23:34:06 | INFO | stdout | INFO:     127.0.0.1:47548 - "POST /list_models HTTP/1.1" 200 OK
2025-09-13 23:34:06 | INFO | controller | Register a new worker: http://localhost:21002
2025-09-13 23:34:06 | INFO | controller | Register done: http://localhost:21002, {'model_names': ['TinyLlama-1.1B-Chat-v1.0'], 'speed': 1, 'queue_length': 0}
2025-09-13 23:34:06 | INFO | stdout | INFO:     127.0.0.1:47554 - "POST /refresh_all_workers HTTP/1.1" 200 OK
2025-09-13 23:34:06 | INFO | stdout | INFO:     127.0.0.1:47556 - "POST /list_models HTTP/1.1" 200 OK
2025-09-13 23:34:29 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:34:29 | INFO | stdout | INFO:     127.0.0.1:50714 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:35:14 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:35:14 | INFO | stdout | INFO:     127.0.0.1:47994 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:35:59 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:35:59 | INFO | stdout | INFO:     127.0.0.1:35500 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:36:44 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:36:44 | INFO | stdout | INFO:     127.0.0.1:46244 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:37:29 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:37:29 | INFO | stdout | INFO:     127.0.0.1:35616 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:38:14 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:38:14 | INFO | stdout | INFO:     127.0.0.1:52890 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:38:17 | INFO | stdout | INFO:     127.0.0.1:54366 - "POST /list_models HTTP/1.1" 200 OK
2025-09-13 23:38:17 | INFO | controller | names: ['http://localhost:21002'], queue_lens: [0.0], ret: http://localhost:21002
2025-09-13 23:38:17 | INFO | stdout | INFO:     127.0.0.1:54376 - "POST /get_worker_address HTTP/1.1" 200 OK
2025-09-13 23:39:00 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:39:00 | INFO | stdout | INFO:     127.0.0.1:34104 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:39:45 | INFO | controller | Receive heart beat. http://localhost:21002
2025-09-13 23:39:45 | INFO | stdout | INFO:     127.0.0.1:60998 - "POST /receive_heart_beat HTTP/1.1" 200 OK
2025-09-13 23:40:30 | INFO | controller | Receive heart beat. http://localhost:21002
